Request Number,Create Date,Summary,Request Status
P944614-050824,5/8/2024 1:35:00 PM,"Please prioide the date the following current and retired Chicago Police Dept employees were awarded the 9158 Explosives Technician I title code and their start date (the date they began the Chicago Police Academy);
J. Diaz
W. Sweeney
E. Vasquez
S. McNichols
J. Cotter (retired)
T. Granville
J. Wynn
Frank Gaber (retired)
T. Colvin
M. Curry
N. Spencer (retired)
A. Paulsen
M. Koegler
R. Lopez
C. Welbel
W. Hanner
L. Wnek
P. Sajdak
A. Meunch
P. Hayes
C. Ford
C. Cooper
C. Gacek",Wrong Department
P923678-022824,2/28/2024 12:19:00 PM,"I am conducting a background investigation for the position of police officer for the Villa Park Police Department. The applicant, Evan Jon Leonard, attended CPD Metro Academy but resigned during his time in the academy which he did not complete. Leonard was hired by the Niles Police Department and due to an incident while attending the academy resigned. Leonard attended CPD Metro class, 23-102A and was employed by Niles PD 05/23 - 08/07. The incident occurred on 08/03/2023. Please find the attached consent to release information forms signed by applicant Leonard.

Respectfully submitted,

Detective Bart Banaszewski #333
Villa Park Police Department 
630-592-6122",No Records Exist
P923496-022824,2/28/2024 8:40:00 AM,"To whom it may concern, 

This is Tom Schuba with the Chicago Sun-Times. I hope this message finds you well. Pursuant to the Illinois Freedom of Information Act (5 ILCS 140/1 to 11), I respectfully request an electronic copy of the following records from the Chicago Police Department: 

1. A list of all recruits who entered the police academy between Jan. 1, 2020, and the present date;
2. A list of all recruits who graduated from the police academy between Jan. 1, 2020 and the present daete.

I believe that all of the information I have requested is subject to public disclosure pursuant to the FOIA. However, if you decide to withhold all or part of the requested records, please send me a detailed statement of the reasons for this denial along with specific legal reasons under FOIA to justify the nondisclosure. 

I look forward to your response to my request within five working days as required by the Act. Please do not hesitate to contact me if you have any questions or need my help in facilitating the release of this information. 

Thank you,
Tom",Completed
P906510-123023,12/30/2023 4:13:00 PM,"JG453112...the police report made... in regards to an incident at Gifted Children Academy, 1524 W Howard St, Chicago, IL 60626.",Completed
P904288-122023,12/20/2023 11:19:00 AM,"I am requesting my disciplinary record, training record and the curriculum when I attended the academy.",Completed
P903623-121823,12/18/2023 2:32:00 PM,"I am requesting records sufficient to demonstrate the following:
1. List of training lesson plans targeted toward new police recruits in the Academy
2. List of training lesson plans targeted toward probationary officers
3. List of training lesson plans available to in-service non-probationary officers
4. List of training lesson plans targeted toward returning service officers to current, non-probationary officers
5. List of Emergency Preparedness lesson plans targeted toward tactical units, domestic preparedness units, LEMART, and PPDU.

The lesson plans should include all courses, in-person or virtual, that were available to the listed target audiences since January 1, 2023 and attended by at least one participant. 

Fields in the lesson plan lists should minimally include course title, duration, target audience, narrative of how guiding principles are incorporated, goals of the lesson, student objectives, the evaluation and assessment method and criteria, instructor requirements, list of outside personnel used, the name and star number of all instructors who delivered the course since Jan 1, 2023, the number of members who completed the training since Jan 1 2023, and a flag indicating if the training was mandatory, elective, or remedial.

If the 5 target-audience specific requests above can be met in a single spreadsheet where the ""target audience"" field would allow filtering to achieve these breakdowns, that would work, assuming you can explain any codes or abbreviations to do so. If these have to be 5 different lists to respond to the request, that is fine too.",Completed
P892649-110323,11/3/2023 9:49:00 AM,"I am specifically requesting all correspondences, including but not limited to: - Emails or a email log between July 01, 2023, through July 31, 2023, regarding Lt Daniel O'Connor #795 application, acceptance, and attendance to the Metropolitan Police Department DC Police Leadership Academy that he attended in the fall of 2023.",Completed
P888053-101823,10/18/2023 3:35:00 PM,"Please provide me with all police reports received by your office from May 1, 2023 to the present, which fall under the following three categories:

1) Reports which refer to any of the following phrases:  “CryptoFX,” “Crypto FX,” “CFX,” “CryptoFX LLC,” “CFX Academy LLC,” “CFX Lifestyle Academy,” “CFX Company,” or “Crypto.”",Completed
P886370-101223,10/12/2023 12:39:00 PM,"Please be advised our firm represents Mr. Louis and Prince Louis, a minor. We are requesting the police report made by Edwing Louis on behalf of son, Prince Louis, a minor for incident at Gifted Children Academy, 1524 W Howard St, Chicago, IL 60626. Please let me know what else you need to release this informaton as a minor is involved.",No Response from Requestor
P885003-100523,10/5/2023 8:00:00 AM,Non-Commercial Police FOIA Request,Completed
P879484-091523,9/15/2023 8:00:00 AM,"I am requesting all documents and police reports, with the words “cannabis” or “drug” that occurred at the following places on these dates:

Curie High School, 4959 S. Archer,  February 12, 2020

Fenger High School, 11220 S. Wallace, March 3, 2023

Uplift Community School, 900 W. Wilson, April 19, 2023

Gale High School, 1631 Jonquil Steet, December 21, 2022

Chicago Academy Elementary, 3400 Austin, May 18, 2023

Harvard Elementary School, 7525 S. Harvard, May 21, 2023",Completed
P876436-090623,9/6/2023 2:26:00 PM,I wanted to know was the hiring and firing of Messiah M Travis from the police academy related to gang affiliation ?,Wrong Department
P873094-082423,8/24/2023 12:49:00 PM,The hiring and firing of Messiah M Travis from the chicago police academy.  Full background check with his connects to BD O-Block,No Records Exist
